,distance,herding_time,coefficients_of_horses,grazing_time,num_mares,stallion_speed,method,accuracy,f1_score,precision,recall
48,0.5,100,0.1,150,4,0.2,coreset_kmeans_labels,0.5825,0.4984984984984985,0.3577586206896552,0.8217821782178217
49,0.5,100,0.1,150,4,0.2,local_transfer_entropy,0.8140703517587939,0.6696428571428571,0.6097560975609756,0.7425742574257426
50,0.5,100,0.1,150,4,0.5,isolation_forest_outlier,0.7175,0.2981366459627329,0.4,0.2376237623762376
51,0.5,100,0.1,150,4,0.5,lof_outlier,0.7225,0.3105590062111801,0.4166666666666667,0.24752475247524752
52,0.5,100,0.1,150,4,0.5,dbscan_labels,0.7475,0.0,1.0,0.0
53,0.5,100,0.1,150,4,0.5,coreset_kmeans_labels,0.845,0.7304347826086957,0.6511627906976745,0.8316831683168316
54,0.5,100,0.1,150,4,0.5,local_transfer_entropy,0.8592964824120602,0.7522123893805309,0.68,0.8415841584158416
55,0.5,100,0.1,150,4,1.0,isolation_forest_outlier,0.7125,0.2857142857142857,0.38333333333333336,0.22772277227722773
56,0.5,100,0.1,150,4,1.0,lof_outlier,0.7175,0.2981366459627329,0.4,0.2376237623762376
57,0.5,100,0.1,150,4,1.0,dbscan_labels,0.7475,0.0,1.0,0.0
58,0.5,100,0.1,150,4,1.0,coreset_kmeans_labels,0.6075,0.5449275362318841,0.38524590163934425,0.9306930693069307
59,0.5,100,0.1,150,4,1.0,local_transfer_entropy,0.9020100502512562,0.8235294117647058,0.7583333333333333,0.900990099009901
60,0.5,100,0.1,150,6,0.2,isolation_forest_outlier,0.7825,0.45962732919254656,0.6166666666666667,0.36633663366336633
61,0.5,100,0.1,150,6,0.2,lof_outlier,0.7325,0.33540372670807456,0.45,0.26732673267326734
62,0.5,100,0.1,150,6,0.2,dbscan_labels,0.7475,0.0,1.0,0.0
63,0.5,100,0.1,150,6,0.2,coreset_kmeans_labels,0.67,0.5448275862068965,0.41798941798941797,0.7821782178217822
64,0.5,100,0.1,150,6,0.2,local_transfer_entropy,0.907035175879397,0.8310502283105022,0.7711864406779662,0.900990099009901
65,0.5,100,0.1,150,6,0.5,isolation_forest_outlier,0.6775,0.19875776397515527,0.26666666666666666,0.15841584158415842
66,0.5,100,0.1,150,6,0.5,lof_outlier,0.7775,0.4472049689440994,0.6,0.3564356435643564
67,0.5,100,0.1,150,6,0.5,dbscan_labels,0.7475,0.0,1.0,0.0
68,0.5,100,0.1,150,6,0.5,coreset_kmeans_labels,0.6075,0.4852459016393443,0.3627450980392157,0.7326732673267327
69,0.5,100,0.1,150,6,0.5,local_transfer_entropy,0.9472361809045227,0.9041095890410958,0.8389830508474576,0.9801980198019802
70,0.5,100,0.1,150,6,1.0,isolation_forest_outlier,0.6825,0.2111801242236025,0.2833333333333333,0.16831683168316833
71,0.5,100,0.1,150,6,1.0,lof_outlier,0.6875,0.2236024844720497,0.3,0.1782178217821782
72,0.5,100,0.1,150,6,1.0,dbscan_labels,0.7475,0.0,1.0,0.0
73,0.5,100,0.1,150,6,1.0,coreset_kmeans_labels,0.63,0.5771428571428572,0.40562248995983935,1.0
74,0.5,100,0.1,150,6,1.0,local_transfer_entropy,0.9748743718592965,0.9528301886792453,0.9099099099099099,1.0
75,0.5,100,0.1,150,8,0.2,isolation_forest_outlier,0.7075,0.2732919254658385,0.36666666666666664,0.21782178217821782
76,0.5,100,0.1,150,8,0.2,lof_outlier,0.7075,0.2732919254658385,0.36666666666666664,0.21782178217821782
77,0.5,100,0.1,150,8,0.2,dbscan_labels,0.7475,0.0,1.0,0.0
78,0.5,100,0.1,150,8,0.2,coreset_kmeans_labels,0.5375,0.38127090301003347,0.2878787878787879,0.5643564356435643
79,0.5,100,0.1,150,8,0.2,local_transfer_entropy,0.9773869346733668,0.9565217391304348,0.9339622641509434,0.9801980198019802
80,0.5,100,0.1,150,8,0.5,isolation_forest_outlier,0.6675,0.17391304347826086,0.23333333333333334,0.13861386138613863
81,0.5,100,0.1,150,8,0.5,lof_outlier,0.7175,0.2981366459627329,0.4,0.2376237623762376
82,0.5,100,0.1,150,8,0.5,dbscan_labels,0.7475,0.0,1.0,0.0
83,0.5,100,0.1,150,8,0.5,coreset_kmeans_labels,0.79,0.6181818181818182,0.5714285714285714,0.6732673267326733
84,0.5,100,0.1,150,8,0.5,local_transfer_entropy,0.9849246231155779,0.970873786407767,0.9523809523809523,0.9900990099009901
85,0.5,100,0.1,150,8,1.0,isolation_forest_outlier,0.6075,0.024844720496894408,0.03333333333333333,0.019801980198019802
86,0.5,100,0.1,150,8,1.0,lof_outlier,0.6775,0.19875776397515527,0.26666666666666666,0.15841584158415842
87,0.5,100,0.1,150,8,1.0,dbscan_labels,0.7475,0.0,1.0,0.0
88,0.5,100,0.1,150,8,1.0,coreset_kmeans_labels,0.555,0.531578947368421,0.36200716845878134,1.0
89,0.5,100,0.1,150,8,1.0,local_transfer_entropy,0.9773869346733668,0.957345971563981,0.9181818181818182,1.0
90,0.5,100,0.1,250,4,0.2,isolation_forest_outlier,0.7583333333333333,0.24083769633507854,0.25555555555555554,0.22772277227722773
91,0.5,100,0.1,250,4,0.2,lof_outlier,0.755,0.23036649214659685,0.24444444444444444,0.21782178217821782
92,0.5,100,0.1,250,4,0.2,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
93,0.5,100,0.1,250,4,0.2,coreset_kmeans_labels,0.5816666666666667,0.42032332563510394,0.2740963855421687,0.900990099009901
94,0.5,100,0.1,250,4,0.2,local_transfer_entropy,0.8377926421404682,0.6498194945848376,0.5113636363636364,0.8910891089108911
95,0.5,100,0.1,250,4,0.5,isolation_forest_outlier,0.745,0.19895287958115182,0.2111111111111111,0.18811881188118812
96,0.5,100,0.1,250,4,0.5,lof_outlier,0.7716666666666666,0.28272251308900526,0.3,0.26732673267326734
97,0.5,100,0.1,250,4,0.5,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
98,0.5,100,0.1,250,4,0.5,coreset_kmeans_labels,0.5183333333333333,0.32634032634032634,0.21341463414634146,0.693069306930693
99,0.5,100,0.1,250,4,0.5,local_transfer_entropy,0.8745819397993311,0.7252747252747253,0.5755813953488372,0.9801980198019802
100,0.5,100,0.1,250,4,1.0,isolation_forest_outlier,0.8316666666666667,0.4712041884816754,0.5,0.44554455445544555
101,0.5,100,0.1,250,4,1.0,lof_outlier,0.7516666666666667,0.2198952879581152,0.23333333333333334,0.2079207920792079
102,0.5,100,0.1,250,4,1.0,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
103,0.5,100,0.1,250,4,1.0,coreset_kmeans_labels,0.5716666666666667,0.41723356009070295,0.27058823529411763,0.9108910891089109
104,0.5,100,0.1,250,4,1.0,local_transfer_entropy,0.9247491638795987,0.8163265306122449,0.6944444444444444,0.9900990099009901
105,0.5,100,0.1,250,6,0.2,isolation_forest_outlier,0.7616666666666667,0.2513089005235602,0.26666666666666666,0.2376237623762376
106,0.5,100,0.1,250,6,0.2,lof_outlier,0.7716666666666666,0.28272251308900526,0.3,0.26732673267326734
107,0.5,100,0.1,250,6,0.2,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
108,0.5,100,0.1,250,6,0.2,coreset_kmeans_labels,0.6583333333333333,0.4533333333333333,0.3102189781021898,0.8415841584158416
109,0.5,100,0.1,250,6,0.2,local_transfer_entropy,0.9414715719063546,0.8523206751054853,0.7426470588235294,1.0
110,0.5,100,0.1,250,6,0.5,isolation_forest_outlier,0.795,0.35602094240837695,0.37777777777777777,0.33663366336633666
111,0.5,100,0.1,250,6,0.5,lof_outlier,0.795,0.35602094240837695,0.37777777777777777,0.33663366336633666
112,0.5,100,0.1,250,6,0.5,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
113,0.5,100,0.1,250,6,0.5,coreset_kmeans_labels,0.385,0.275049115913556,0.1715686274509804,0.693069306930693
114,0.5,100,0.1,250,6,0.5,local_transfer_entropy,0.9381270903010034,0.8438818565400844,0.7352941176470589,0.9900990099009901
115,0.5,100,0.1,250,6,1.0,isolation_forest_outlier,0.765,0.2617801047120419,0.2777777777777778,0.24752475247524752
116,0.5,100,0.1,250,6,1.0,lof_outlier,0.805,0.387434554973822,0.4111111111111111,0.36633663366336633
117,0.5,100,0.1,250,6,1.0,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
118,0.5,100,0.1,250,6,1.0,coreset_kmeans_labels,0.5716666666666667,0.3981264637002342,0.2607361963190184,0.8415841584158416
119,0.5,100,0.1,250,6,1.0,local_transfer_entropy,0.9632107023411371,0.9017857142857143,0.8211382113821138,1.0
120,0.5,100,0.1,250,8,0.2,isolation_forest_outlier,0.7183333333333334,0.11518324607329843,0.12222222222222222,0.10891089108910891
121,0.5,100,0.1,250,8,0.2,lof_outlier,0.8183333333333334,0.4293193717277487,0.45555555555555555,0.40594059405940597
122,0.5,100,0.1,250,8,0.2,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
123,0.5,100,0.1,250,8,0.2,coreset_kmeans_labels,0.5483333333333333,0.39373601789709173,0.2543352601156069,0.8712871287128713
124,0.5,100,0.1,250,8,0.2,local_transfer_entropy,0.9665551839464883,0.9099099099099099,0.8347107438016529,1.0
125,0.5,100,0.1,250,8,0.5,isolation_forest_outlier,0.765,0.2617801047120419,0.2777777777777778,0.24752475247524752
126,0.5,100,0.1,250,8,0.5,lof_outlier,0.795,0.35602094240837695,0.37777777777777777,0.33663366336633666
127,0.5,100,0.1,250,8,0.5,dbscan_labels,0.8316666666666667,0.0,1.0,0.0
128,0.5,100,0.1,250,8,0.5,coreset_kmeans_labels,0.635,0.44274809160305345,0.2979452054794521,0.8613861386138614
129,0.5,100,0.1,250,8,0.5,local_transfer_entropy,0.9765886287625418,0.9351851851851852,0.8782608695652174,1.0
130,0.5,100,0.1,250,8,1.0,isolation_forest_outlier,0.6883333333333334,0.020942408376963352,0.022222222222222223,0.019801980198019802
131,0.5,100,0.1,250,8,1.0,lof_outlier,0.735,0.16753926701570682,0.17777777777777778,0.15841584158415842
132,0.5,100,0.1,250,8,1.0,dbscan_labels,0.35,0.34121621621621623,0.20570264765784113,1.0
133,0.5,100,0.1,250,8,1.0,coreset_kmeans_labels,0.5366666666666666,0.42083333333333334,0.26649076517150394,1.0
134,0.5,100,0.1,250,8,1.0,local_transfer_entropy,0.9849498327759197,0.957345971563981,0.9181818181818182,1.0
135,0.5,100,0.5,50,4,0.2,isolation_forest_outlier,0.495,0.22900763358778625,0.5,0.1485148514851485
136,0.5,100,0.5,50,4,0.2,lof_outlier,0.565,0.33587786259541985,0.7333333333333333,0.21782178217821782
137,0.5,100,0.5,50,4,0.2,dbscan_labels,0.495,0.0,1.0,0.0
138,0.5,100,0.5,50,4,0.2,coreset_kmeans_labels,0.725,0.7773279352226721,0.6575342465753424,0.9504950495049505
139,0.5,100,0.5,50,4,0.2,local_transfer_entropy,0.47474747474747475,0.30666666666666664,0.46938775510204084,0.22772277227722773
140,0.5,100,0.5,50,4,0.5,isolation_forest_outlier,0.565,0.33587786259541985,0.7333333333333333,0.21782178217821782
141,0.5,100,0.5,50,4,0.5,lof_outlier,0.495,0.22900763358778625,0.5,0.1485148514851485
142,0.5,100,0.5,50,4,0.5,dbscan_labels,0.495,0.0,1.0,0.0
143,0.5,100,0.5,50,4,0.5,coreset_kmeans_labels,0.47,0.5092592592592593,0.4782608695652174,0.5445544554455446
144,0.5,100,0.5,50,4,0.5,local_transfer_entropy,0.5909090909090909,0.4840764331210191,0.6785714285714286,0.37623762376237624
145,0.5,100,0.5,50,4,1.0,isolation_forest_outlier,0.525,0.2748091603053435,0.6,0.1782178217821782
146,0.5,100,0.5,50,4,1.0,lof_outlier,0.515,0.2595419847328244,0.5666666666666667,0.16831683168316833
147,0.5,100,0.5,50,4,1.0,dbscan_labels,0.495,0.0,1.0,0.0
148,0.5,100,0.5,50,4,1.0,coreset_kmeans_labels,0.665,0.6995515695067265,0.639344262295082,0.7722772277227723
149,0.5,100,0.5,50,4,1.0,local_transfer_entropy,0.7171717171717171,0.654320987654321,0.8688524590163934,0.5247524752475248
150,0.5,100,0.5,50,6,0.2,isolation_forest_outlier,0.495,0.22900763358778625,0.5,0.1485148514851485
151,0.5,100,0.5,50,6,0.2,lof_outlier,0.495,0.22900763358778625,0.5,0.1485148514851485
152,0.5,100,0.5,50,6,0.2,dbscan_labels,0.495,0.0,1.0,0.0
153,0.5,100,0.5,50,6,0.2,coreset_kmeans_labels,0.75,0.7093023255813954,0.8591549295774648,0.6039603960396039
154,0.5,100,0.5,50,6,0.2,local_transfer_entropy,0.702020202020202,0.6424242424242425,0.828125,0.5247524752475248
155,0.5,100,0.5,50,6,0.5,isolation_forest_outlier,0.615,0.4122137404580153,0.9,0.26732673267326734
156,0.5,100,0.5,50,6,0.5,lof_outlier,0.535,0.2900763358778626,0.6333333333333333,0.18811881188118812
157,0.5,100,0.5,50,6,0.5,dbscan_labels,0.495,0.0,1.0,0.0
